Data Type,Country,Year,HTS Number,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,1996,0101110020,Value for: number,0,0,"3,150",0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0106001000,Value for: number,0,"12,000",0,0,0,"2,300",0,0,"5,620","8,185",0,0
Customs Value,China,1996,0106005010,Value for: number,"95,000",0,"209,500","125,000","349,300","118,000","210,100","339,400","183,500","341,175",0,"269,300"
Customs Value,China,1996,0106005080,Value for: no units collected,0,0,"1,722",0,"7,644","8,130","19,151",0,"2,005,592","10,444",0,"3,620"
First Unit Quantity,China,1996,0101110020,number,0,0,6,0,0,0,0,0,0,0,0,0
First Unit Quantity,China,1996,0106001000,number,0,4,0,0,0,"1,445",0,0,960,"1,750",0,0
First Unit Quantity,China,1996,0106005010,number,100,0,200,100,390,100,386,340,190,340,0,270
First Unit Quantity,China,1996,0106005080,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0207140040,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"5,054"
Customs Value,China,1996,0208100000,Value for: kilograms,"105,835","107,270","53,635","148,015",0,"60,107","123,823","71,372","74,535",0,"200,579","35,440"
Customs Value,China,1996,0208200000,Value for: kilograms,"96,668","52,837",0,0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0208902000,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"5,156"
Customs Value,China,1996,0210904000,Value for: kilograms,0,"3,548","2,933",0,0,0,0,0,"5,440","4,078",0,0
First Unit Quantity,China,1996,0207140040,kilograms,0,0,0,0,0,0,0,0,0,0,0,"1,362"
First Unit Quantity,China,1996,0208100000,kilograms,"39,000","38,000","19,000","54,000",0,"24,000","61,550","40,760","41,634",0,"102,300","44,000"
First Unit Quantity,China,1996,0208200000,kilograms,"17,418","9,550",0,0,0,0,0,0,0,0,0,0
First Unit Quantity,China,1996,0208902000,kilograms,0,0,0,0,0,0,0,0,0,0,0,154
First Unit Quantity,China,1996,0210904000,kilograms,0,754,245,0,0,0,0,0,816,54,0,0
Customs Value,China,1996,0301100000,Value for: no units collected,"85,164","57,413","57,120","71,517","48,605","36,206","45,324","45,063","68,112","76,663","47,969","44,871"
Customs Value,China,1996,0301990000,Value for: no units collected,0,0,0,"4,754",0,0,0,0,0,0,0,0
Customs Value,China,1996,0302320000,Value for: kilograms,"2,885","3,058",0,0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0302660000,Value for: kilograms,0,0,0,0,0,0,0,0,"4,227",0,"4,556",0
Customs Value,China,1996,0302694096,Value for: kilograms,0,0,0,0,0,0,0,0,"3,192",0,0,0
Customs Value,China,1996,0303100022,Value for: kilograms,0,0,0,0,0,0,0,"1,440",0,0,0,0
Customs Value,China,1996,0303390010,Value for: kilograms,0,"3,800",0,0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0303390090,Value for: kilograms,0,"7,614",0,0,0,0,0,0,0,0,0,0
Customs Value,China,1996,0303420060,Value for: kilograms,0,0,0,0,0,0,0,0,"15,656",0,0,0
Customs Value,China,1996,0303600090,Value for: kilograms,"85,932",0,"570,293",0,0,"65,330","28,360",0,0,0,"27,770",0
Customs Value,China,1996,0303740000,Value for: kilograms,0,0,0,0,0,"45,209","47,174",0,0,0,0,0
Customs Value,China,1996,0303760000,Value for: kilograms,"87,048",0,0,"45,600","68,900","105,212","5,914","68,863",0,"48,270","172,072",0
Customs Value,China,1996,0303792015,Value for: kilograms,0,0,0,0,0,0,"11,166",0,0,0,0,0
Customs Value,China,1996,0303792024,Value for: kilograms,"16,141","25,120",0,0,0,0,0,0,0,0,"30,870",0
