Data Type,Country,Year,HTS Number,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,1997,0106001000,Value for: number,0,0,0,"2,100",0,0,0,0,0,0,0,0
Customs Value,China,1997,0106005010,Value for: number,"481,553",0,"106,500","99,500","153,600",0,"108,750",0,"218,820","269,000","49,750",0
Customs Value,China,1997,0106005080,Value for: no units collected,"11,076","4,748","2,798",0,0,"3,111","3,562","12,475","14,578","35,017","17,088","9,122"
First Unit Quantity,China,1997,0106001000,number,0,0,0,"3,410",0,0,0,0,0,0,0,0
First Unit Quantity,China,1997,0106005010,number,450,0,100,100,120,0,100,0,220,220,50,0
First Unit Quantity,China,1997,0106005080,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1997,0208100000,Value for: kilograms,"54,520","130,609","126,240","145,984","112,983","119,027","53,688","66,220","130,040","114,700","90,091","186,878"
Customs Value,China,1997,0208200000,Value for: kilograms,0,0,0,"106,810","149,832",0,0,0,0,0,0,0
Customs Value,China,1997,0208904000,Value for: kilograms,0,0,0,0,"2,650",0,0,0,0,0,0,0
Customs Value,China,1997,0210902000,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"1,895",0
First Unit Quantity,China,1997,0208100000,kilograms,"19,500","60,500","44,000","87,500","59,902","60,500","24,080","29,000","85,000","66,000","43,000","105,920"
First Unit Quantity,China,1997,0208200000,kilograms,0,0,0,"11,953","17,831",0,0,0,0,0,0,0
First Unit Quantity,China,1997,0208904000,kilograms,0,0,0,0,"1,502",0,0,0,0,0,0,0
First Unit Quantity,China,1997,0210902000,kilograms,0,0,0,0,0,0,0,0,0,0,"1,000",0
Customs Value,China,1997,0301100000,Value for: no units collected,"70,677","32,171","87,951","69,716","32,407","59,300","45,213","55,205","59,448","43,787","27,656","36,547"
Customs Value,China,1997,0301920000,Value for: kilograms,0,0,0,0,0,"102,766",0,0,0,0,0,0
Customs Value,China,1997,0301990000,Value for: no units collected,0,0,0,0,"51,467","205,772",0,0,0,0,0,0
Customs Value,China,1997,0302640000,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"3,032"
Customs Value,China,1997,0302660000,Value for: kilograms,0,"12,266",0,0,0,0,0,0,0,0,"51,405",0
Customs Value,China,1997,0302692023,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"1,338",0
Customs Value,China,1997,0302692070,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"71,278",0
Customs Value,China,1997,0302704090,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"20,721",0
Customs Value,China,1997,0303220000,Value for: kilograms,0,0,0,0,0,"21,440",0,0,0,0,0,0
Customs Value,China,1997,0303310020,Value for: kilograms,0,0,0,0,0,0,0,0,0,"293,593",0,0
Customs Value,China,1997,0303390010,Value for: kilograms,0,0,"16,211",0,0,0,0,0,0,0,0,0
Customs Value,China,1997,0303420020,Value for: kilograms,0,0,0,0,0,0,0,0,"7,196",0,0,0
Customs Value,China,1997,0303600090,Value for: kilograms,0,0,0,0,0,0,0,0,0,"225,435","61,792",0
Customs Value,China,1997,0303730000,Value for: kilograms,0,"29,696",0,"21,872",0,"28,157","28,840",0,0,0,"26,250",0
Customs Value,China,1997,0303740000,Value for: kilograms,0,0,0,0,0,0,0,"19,684",0,0,0,0
Customs Value,China,1997,0303760000,Value for: kilograms,0,"181,809","8,583","87,789","7,420",0,"156,550","290,829",0,"9,712","17,417","49,512"
Customs Value,China,1997,0303792024,Value for: kilograms,0,0,0,"5,172","18,519",0,0,0,"5,463",0,0,0
Customs Value,China,1997,0303792026,Value for: kilograms,"59,620","46,843",0,"32,734","28,877",0,"60,074","33,600","32,728",0,"30,274","31,871"
Customs Value,China,1997,0303792094,Value for: kilograms,0,0,0,0,"64,274",0,0,0,0,0,0,0
Customs Value,China,1997,0303792098,Value for: kilograms,"284,592","130,252","59,569","88,716","203,169","99,555","176,677","108,891","42,714","30,581",0,"219,693"
Customs Value,China,1997,0303794020,Value for: kilograms,0,0,0,0,0,0,"1,837",0,0,0,0,0
Customs Value,China,1997,0303794080,Value for: kilograms,"77,530",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1997,0303794095,Value for: kilograms,"724,984","259,309","87,458","492,100","192,027","161,932","85,490",0,"98,076","98,553","163,801","628,581"
Customs Value,China,1997,0303804050,Value for: kilograms,0,"23,956",0,0,"30,400",0,0,0,0,0,0,0
Customs Value,China,1997,0303804095,Value for: kilograms,0,0,0,0,"13,425",0,0,0,0,0,0,"27,497"
Customs Value,China,1997,0304101055,Value for: kilograms,0,0,0,0,"42,141","5,960",0,"53,340",0,"49,172","52,560",0
Customs Value,China,1997,0304104065,Value for: kilograms,0,0,0,0,0,"75,183",0,0,"348,500",0,"67,900",0
Customs Value,China,1997,0304104092,Value for: kilograms,"30,150",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1997,0304104095,Value for: kilograms,0,"28,014",0,0,0,0,0,0,0,0,0,"27,921"
Customs Value,China,1997,0304202011,Value for: kilograms,0,0,0,0,0,"112,040","56,500","149,382","56,382","110,666","88,118","56,255"
Customs Value,China,1997,0304202012,Value for: kilograms,"120,733","236,577","356,732","299,517","898,474","219,782","222,169","233,969","312,039","569,972","554,242","922,040"
Customs Value,China,1997,0304202023,Value for: kilograms,"508,929","371,738","384,217","206,864","35,374","388,830","522,146","611,103","541,910","565,317","604,436","787,081"
Customs Value,China,1997,0304202025,Value for: kilograms,0,0,"44,553","41,865","8,124","8,914",0,0,"75,099",0,0,0
Customs Value,China,1997,0304202027,Value for: kilograms,0,0,0,"91,079",0,0,0,0,0,0,0,0
Customs Value,China,1997,0304202044,Value for: kilograms,"2,711,689","2,423,812","1,532,751","2,684,324","2,415,414","4,080,842","5,227,454","1,848,450","2,364,068","4,488,485","2,095,098","2,946,144"
Customs Value,China,1997,0304202048,Value for: kilograms,"1,662,298","95,065","899,997","921,598","1,006,454","1,505,050","1,209,540","1,606,169","749,421","1,107,392","324,978","1,253,795"
Customs Value,China,1997,0304202055,Value for: kilograms,0,0,0,0,0,"189,967",0,"38,430",0,0,0,0
Customs Value,China,1997,0304202061,Value for: kilograms,"29,272",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1997,0304202063,Value for: kilograms,0,0,0,0,0,0,0,0,"91,350",0,0,0
Customs Value,China,1997,0304202066,Value for: kilograms,0,"148,270","33,636",0,0,0,0,0,"154,183","14,451",0,"108,349"
Customs Value,China,1997,0304203020,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"415,195","166,510"
