Data Type,Country,Year,HTS Number,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,2001,0106001000,Value for: number,"8,368",0,0,0,"3,025",0,0,0,0,"7,950",0,0
Customs Value,China,2001,0106005010,Value for: number,"377,319","771,382","494,580","536,184","74,972","584,162","305,866","91,307","447,436","264,132","592,534","1,022,200"
Customs Value,China,2001,0106005080,Value for: no units collected,0,0,"17,345","2,938","2,938",0,"20,866","12,127","18,272","13,374","15,876",0
First Unit Quantity,China,2001,0106001000,number,"6,315",0,0,0,"3,685",0,0,0,0,"10,300",0,0
First Unit Quantity,China,2001,0106005010,number,320,696,"2,707",480,96,480,240,120,360,240,480,"6,319"
First Unit Quantity,China,2001,0106005080,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0208100000,Value for: kilograms,"80,400","40,875","40,540","115,205","88,300","77,093","40,000","44,050","150,540","81,887","76,584","74,227"
Customs Value,China,2001,0208200000,Value for: kilograms,"278,386","285,584","185,740","278,825","255,255","278,477","292,533",0,"92,145","187,457","240,513","142,372"
Customs Value,China,2001,0208902000,Value for: kilograms,0,0,"4,919",0,"15,427","8,463",0,"10,156",0,"7,712",0,0
First Unit Quantity,China,2001,0208100000,kilograms,"48,000","24,000","22,000","68,000","46,000","42,000","24,000","23,000","94,000","46,000","51,000","46,000"
First Unit Quantity,China,2001,0208200000,kilograms,"57,329","68,719","42,185","68,719","72,121","76,481","73,810",0,"22,915","45,123","62,382","35,979"
First Unit Quantity,China,2001,0208902000,kilograms,0,0,381,0,"1,971",544,0,545,0,567,0,0
Customs Value,China,2001,0301100000,Value for: no units collected,"36,230","40,507","41,150","38,616","30,808","38,491","40,100","45,946","43,926","65,509","36,467","34,027"
Customs Value,China,2001,0301990000,Value for: no units collected,0,0,0,"2,640",0,0,0,0,0,0,0,"4,314"
Customs Value,China,2001,0302120032,Value for: kilograms,0,0,0,0,"9,340",0,0,0,0,0,0,0
Customs Value,China,2001,0302320000,Value for: kilograms,0,"12,041",0,0,0,"5,560",0,0,0,0,0,0
Customs Value,China,2001,0302660000,Value for: kilograms,0,0,0,0,0,"78,897",0,0,"2,888","149,400",0,"149,400"
Customs Value,China,2001,0302692010,Value for: kilograms,0,0,0,0,0,0,"3,304",0,0,0,0,0
Customs Value,China,2001,0302692062,Value for: kilograms,0,0,"2,277","5,061","6,662","4,600",0,"9,702","3,490",0,"2,154",0
Customs Value,China,2001,0302692064,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,"2,235",0
Customs Value,China,2001,0302692070,Value for: kilograms,"24,132",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0302694099,Value for: kilograms,"9,332","31,473","46,058","86,971","45,987","26,099","64,066","6,666","14,967","29,990","19,567","79,832"
Customs Value,China,2001,0303100022,Value for: kilograms,"16,975",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0303100042,Value for: kilograms,"92,149",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0303100062,Value for: kilograms,0,"2,143",0,0,0,0,0,0,"6,980","5,475",0,0
Customs Value,China,2001,0303310020,Value for: kilograms,0,"3,682",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0303330000,Value for: kilograms,0,"25,618",0,"22,761","19,125","106,654",0,"11,989","2,292",0,0,0
Customs Value,China,2001,0303390010,Value for: kilograms,0,0,0,0,0,"16,683",0,0,0,"6,813","14,036","10,278"
Customs Value,China,2001,0303390020,Value for: kilograms,0,"38,939",0,"53,109","27,253","45,166",0,0,0,0,0,0
Customs Value,China,2001,0303390030,Value for: kilograms,0,"84,845",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0303410000,Value for: kilograms,0,0,0,0,"299,923",0,0,0,0,0,0,0
Customs Value,China,2001,0303600090,Value for: kilograms,0,0,0,"73,567","24,389",0,0,0,0,0,0,0
Customs Value,China,2001,0303740000,Value for: kilograms,"37,798","126,164",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0303760000,Value for: kilograms,"278,253","6,383","250,290","46,676","261,815","130,598","135,636","270,959","132,164","24,340","245,078","91,874"
Customs Value,China,2001,0303770000,Value for: kilograms,0,0,0,0,0,0,"161,402",0,0,0,0,"54,000"
Customs Value,China,2001,0303792005,Value for: kilograms,"4,756","7,714",0,"6,983",0,"4,083","4,166",0,"4,166","6,249","4,303",0
Customs Value,China,2001,0303792024,Value for: kilograms,0,0,"34,273",0,0,0,0,0,0,0,"10,608","36,498"
Customs Value,China,2001,0303792026,Value for: kilograms,0,0,0,0,0,0,"41,102",0,"31,290","31,540",0,0
Customs Value,China,2001,0303792080,Value for: kilograms,0,0,0,0,0,0,0,0,"3,904",0,0,0
Customs Value,China,2001,0303792094,Value for: kilograms,"792,997","688,222","1,531,642","1,111,260","753,698","375,558","418,107","359,093","257,481","434,228","1,502,257","2,272,220"
Customs Value,China,2001,0303792098,Value for: kilograms,"565,997","230,544","93,593","185,561","40,179","272,630","265,307","134,504","47,013","84,729","104,231","291,194"
Customs Value,China,2001,0303794040,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"5,808"
Customs Value,China,2001,0303794050,Value for: kilograms,0,0,0,0,0,0,"14,937",0,0,0,0,0
Customs Value,China,2001,0303794070,Value for: kilograms,"26,448","30,720","28,149",0,"14,513",0,0,0,0,0,0,0
Customs Value,China,2001,0303794097,Value for: kilograms,"677,800","315,011","172,635","636,710","441,519","273,842","500,125","569,054","177,655","286,807","610,815","825,015"
Customs Value,China,2001,0303804050,Value for: kilograms,0,0,"14,182",0,0,"10,411",0,0,0,"33,630",0,0
Customs Value,China,2001,0303804095,Value for: kilograms,0,0,0,0,"45,504",0,"7,007",0,"8,584","5,065",0,0
Customs Value,China,2001,0304101048,Value for: kilograms,0,0,0,"298,440","144,500",0,0,0,0,"145,460",0,0
Customs Value,China,2001,0304104061,Value for: kilograms,0,"4,215","188,191",0,"88,178","149,407",0,0,"2,750","75,202","27,629","81,733"
Customs Value,China,2001,0304104062,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"59,700"
Customs Value,China,2001,0304104065,Value for: kilograms,0,"115,375",0,"44,950","57,819","29,376","40,797",0,0,0,0,0
Customs Value,China,2001,0304104070,Value for: kilograms,0,0,0,0,"28,401",0,0,0,0,0,0,0
Customs Value,China,2001,0304104075,Value for: kilograms,"6,693",0,0,0,0,0,0,0,0,0,0,"49,950"
Customs Value,China,2001,0304104085,Value for: kilograms,0,0,0,0,"2,368",0,0,0,0,"8,932",0,0
Customs Value,China,2001,0304104096,Value for: kilograms,"3,693",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0304104099,Value for: kilograms,"70,590","25,290",0,"57,287","12,750","120,265","64,065",0,"19,866","62,748","38,950","56,067"
Customs Value,China,2001,0304202011,Value for: kilograms,"90,796",0,"6,221",0,"260,705","256,908","408,089","47,013","41,808",0,0,0
Customs Value,China,2001,0304202012,Value for: kilograms,"1,256,756","562,853","84,064","81,838","101,085","117,845","336,923","425,460","309,606","883,121","179,807","1,134,233"
Customs Value,China,2001,0304202023,Value for: kilograms,"522,245","297,158","77,748","85,908","7,734","31,433","65,654","34,904","37,861","198,176","85,293","154,399"
Customs Value,China,2001,0304202025,Value for: kilograms,"151,710","128,982","43,278","257,000",0,"101,010","98,940","69,580","137,770",0,0,0
Customs Value,China,2001,0304202027,Value for: kilograms,"12,411",0,"7,227","27,680","3,347","2,335","6,772","8,622","3,736","80,555",0,"2,874"
Customs Value,China,2001,0304202030,Value for: kilograms,"243,686","312,000","222,520",0,"137,427","58,672","390,919",0,"133,145",0,"129,796","242,032"
Customs Value,China,2001,0304202038,Value for: kilograms,0,0,"27,850",0,0,0,0,0,0,0,0,0
Customs Value,China,2001,0304202044,Value for: kilograms,"4,130,115","2,782,924","699,707","2,372,156","2,982,673","3,030,687","6,103,938","4,401,856","4,348,293","3,909,134","3,751,975","4,329,228"
Customs Value,China,2001,0304202055,Value for: kilograms,0,0,"171,138","64,379",0,"46,450",0,0,0,0,0,0
Customs Value,China,2001,0304202060,Value for: kilograms,0,0,0,"44,100",0,0,0,0,0,0,0,0
Customs Value,China,2001,0304202061,Value for: kilograms,0,0,0,0,0,0,0,0,"43,752",0,0,0
Customs Value,China,2001,0304202066,Value for: kilograms,"114,688","12,990","74,954",0,"202,094","13,348","70,348","109,038",0,"77,998",0,0
Customs Value,China,2001,0304203030,Value for: kilograms,"808,940","486,300","151,697",0,"205,444","335,677","544,009","970,807","236,200","893,986","925,723","659,076"
Customs Value,China,2001,0304203035,Value for: kilograms,"4,331,542","1,571,519","1,499,498","3,460,290","2,889,490","2,420,447","1,480,675","1,641,358","2,190,769","2,002,127","2,933,287","2,700,149"
Customs Value,China,2001,0304203065,Value for: kilograms,"6,715,106","3,371,686","2,466,017","3,031,711","2,578,171","3,616,996","4,190,151","4,566,223","3,686,662","5,436,567","4,707,200","6,588,867"
Customs Value,China,2001,0304203068,Value for: kilograms,"285,817","201,251","48,084","173,438","85,168","108,304","270,735","224,674","546,717","804,335","430,280","865,452"
Customs Value,China,2001,0304206006,Value for: kilograms,0,"3,982",0,"18,858","3,742","15,601",0,0,0,0,"12,500",0
Customs Value,China,2001,0304206008,Value for: kilograms,"1,461,234","474,755","418,343","491,220","274,027","391,783","350,535","396,106","180,449","264,517","773,595","558,721"
Customs Value,China,2001,0304206015,Value for: kilograms,0,0,0,"79,324","120,540",0,0,0,"72,500",0,0,0
Customs Value,China,2001,0304206042,Value for: kilograms,"705,483","370,736","528,950","510,891","727,853","653,213","689,104","1,160,251","780,034","799,182","1,174,002","497,245"
Customs Value,China,2001,0304206043,Value for: kilograms,0,0,0,0,0,"32,477",0,0,0,0,0,"25,384"
Customs Value,China,2001,0304206057,Value for: kilograms,"1,946,210","1,246,053","916,928","1,495,823","2,142,219","1,851,801","2,099,621","1,371,272","1,345,331","1,754,698","1,615,747","1,695,959"
Customs Value,China,2001,0304206058,Value for: kilograms,"208,923","294,194","260,059","437,403","329,044","277,995","343,864","448,855","203,892","290,958","214,340","504,230"
Customs Value,China,2001,0304206059,Value for: kilograms,"1,011,323","55,666","943,913","1,765,861","593,765","1,358,923","1,311,794","2,002,937","1,023,039","1,027,548","756,164","485,289"
Customs Value,China,2001,0304206064,Value for: kilograms,"697,441","422,050","932,184",0,"2,252",0,"20,693",0,0,"124,400","124,400","142,586"
Customs Value,China,2001,0304206071,Value for: kilograms,"243,504","180,550","370,400","89,325","234,009","180,421","456,008","519,800","120,335","730,217","187,049","276,216"
Customs Value,China,2001,0304206075,Value for: kilograms,"3,417,674","2,095,800","485,214","631,575","637,179","386,075","1,099,264","1,364,321","868,051","262,408","1,102,788","1,154,887"
Customs Value,China,2001,0304206093,Value for: kilograms,"4,971,916",0,"256,002",0,0,0,0,0,"1,076,134","288,078","250,814","1,844,248"
Customs Value,China,2001,0304206096,Value for: kilograms,"675,205","250,624","555,017","460,080","351,734","475,635","205,499","202,469","317,400","626,357","1,309,381","1,095,262"
Customs Value,China,2001,0304901003,Value for: kilograms,0,0,"23,516",0,0,"5,277",0,0,"30,207",0,0,0
Customs Value,China,2001,0304901004,Value for: kilograms,0,0,0,0,0,0,"60,480",0,0,0,0,0
Customs Value,China,2001,0304901005,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"9,042"
Customs Value,China,2001,0304901009,Value for: kilograms,"105,793","130,721","39,891","24,584","79,374","92,999","106,854","61,323","23,833","124,946","48,138","31,305"
Customs Value,China,2001,0304901012,Value for: kilograms,"103,680","503,000","303,200","96,200",0,0,0,0,0,0,0,0
Customs Value,China,2001,0304901048,Value for: kilograms,"59,480",0,"2,565","35,087",0,"15,237",0,0,0,"26,119",0,"13,463"
