Data Type,Country,Year,HTS Number,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,1999,0106001000,Value for: number,0,0,0,0,"5,195",0,"7,412","21,900","3,892","6,360",0,0
Customs Value,China,1999,0106005010,Value for: number,0,"227,575","295,106","267,500","165,165","150,000","219,595","56,306","625,032","217,718","226,459",0
Customs Value,China,1999,0106005080,Value for: no units collected,0,0,0,"2,291",0,0,0,"2,393","12,080","10,467","309,565","17,331"
First Unit Quantity,China,1999,0106001000,number,0,0,0,0,"1,410",0,"1,977","12,600",887,"1,945",0,0
First Unit Quantity,China,1999,0106005010,number,0,170,270,220,150,120,200,50,"2,835",200,220,0
First Unit Quantity,China,1999,0106005080,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,1999,0207360040,Value for: kilograms,0,"3,124",0,0,"2,994",0,0,0,0,0,0,0
Customs Value,China,1999,0208100000,Value for: kilograms,"39,700","78,770",0,"76,500","87,890","43,032","36,115","43,880","31,584","40,552","42,590",0
Customs Value,China,1999,0208200000,Value for: kilograms,"324,724","309,870","170,487","119,413","200,889","152,434","220,792","100,920","16,176","100,925",0,"62,009"
Customs Value,China,1999,0208902000,Value for: kilograms,0,0,0,"15,001",0,0,"35,481",0,0,0,0,0
Customs Value,China,1999,0210200000,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"184,890"
Customs Value,China,1999,0210904000,Value for: kilograms,0,"21,285",0,"20,890",0,"21,511",0,0,0,0,0,0
First Unit Quantity,China,1999,0207360040,kilograms,0,"5,171",0,0,"1,115",0,0,0,0,0,0,0
First Unit Quantity,China,1999,0208100000,kilograms,"18,304","42,145",0,"44,000","48,983","25,799","19,600","22,800","16,800","22,000","22,000",0
First Unit Quantity,China,1999,0208200000,kilograms,"51,955","72,227","26,263","20,412","35,264","29,938","38,565","15,785","7,000","18,587",0,"9,117"
First Unit Quantity,China,1999,0208902000,kilograms,0,0,0,463,0,0,"4,269",0,0,0,0,0
First Unit Quantity,China,1999,0210200000,kilograms,0,0,0,0,0,0,0,0,0,0,0,"17,725"
First Unit Quantity,China,1999,0210904000,kilograms,0,564,0,554,0,"2,351",0,0,0,0,0,0
