outcome,coef_gap_pre_post,se_gap_pre_post,n_obs
ln_customs_value,0.12157459152475542,0.13424370114831308,766524
ln_first_unit_qty,-0.060757909109097216,0.13009511887580655,766524
ln_unit_value,-0.13081545762990957,0.03173218317334027,427161
