Year,Data Type,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
1995,First Unit of Quantity,0304203065,China,1995,kilograms,"365,279","740,821","283,524","438,819","867,333","881,126","1,174,820","733,525","405,693","639,244","428,736","435,292"
1995,First Unit of Quantity,0304203068,China,1995,kilograms,"355,621","215,831","789,184","657,030","782,754","828,572","1,316,229","576,832","755,702","576,944","431,112","425,656"
1995,First Unit of Quantity,0304206006,China,1995,kilograms,0,0,0,0,"24,054",0,0,0,0,0,0,0
1995,First Unit of Quantity,0304206008,China,1995,kilograms,0,0,0,"19,160",0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0304206015,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,"37,014",0
1995,First Unit of Quantity,0304206042,China,1995,kilograms,0,"3,260","14,207",0,0,"23,732","1,297",0,"15,422","11,830",0,0
1995,First Unit of Quantity,0304206043,China,1995,kilograms,"28,144",0,"18,144",0,"21,247",0,"8,891",0,0,0,0,"9,072"
1995,First Unit of Quantity,0304206057,China,1995,kilograms,"558,445","273,716","591,294","388,127","508,343","289,219","475,038","361,750","446,116","498,223","309,131","109,612"
1995,First Unit of Quantity,0304206058,China,1995,kilograms,"36,288",0,"13,608","18,441",0,"17,963",0,0,0,"2,204",0,0
1995,First Unit of Quantity,0304206059,China,1995,kilograms,0,0,0,0,0,0,0,0,"18,144",0,"6,566",0
1995,First Unit of Quantity,0304206064,China,1995,kilograms,"17,962",0,0,"17,962","17,962","18,865","17,962",0,0,0,0,0
1995,First Unit of Quantity,0304206071,China,1995,kilograms,0,"47,900","24,015",0,0,0,0,0,0,"12,500",0,0
1995,First Unit of Quantity,0304206090,China,1995,kilograms,"172,835","118,758","279,214","175,857","275,784","281,665","130,160","112,306","34,472","18,144","9,570","164,778"
1995,First Unit of Quantity,0304901005,China,1995,kilograms,0,0,"4,101",0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0304901009,China,1995,kilograms,0,"3,173",0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0304901048,China,1995,kilograms,"73,444","18,300","58,079",0,"23,107",0,"68,200",0,0,0,0,0
1995,First Unit of Quantity,0304901089,China,1995,kilograms,"19,487",0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305102000,China,1995,kilograms,0,341,0,0,0,"1,386",0,0,0,0,0,0
1995,First Unit of Quantity,0305304000,China,1995,kilograms,0,0,0,"16,147",0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305306030,China,1995,kilograms,"1,960",272,"1,088",0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305306080,China,1995,kilograms,"1,708",170,0,"17,730",0,"2,070",400,"81,618","71,400","50,800","61,284",0
1995,First Unit of Quantity,0305410000,China,1995,kilograms,134,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305494020,China,1995,kilograms,0,0,0,0,0,"1,162",0,0,0,0,0,0
1995,First Unit of Quantity,0305494040,China,1995,kilograms,0,0,0,0,0,"6,840",0,0,0,0,0,"6,160"
